Timestamp;Accel_x;Accel_y;Accel_z;Gyro_x;Gyro_y;Gyro_z;Light;Magnetic_x;Magnetic_y;Magnetic_z;Proximity;Latitude;Longitude;Elevation;Speed
20211011_185134.0;-0.298;-0.630;9.051;-0.053;-0.013;-0.006;219.5;-32.700;6.638;-61.650;5.0;-32.87968;-60.69698;45.6;46.2
20211011_185134.5;-0.260;-0.427;10.172;-0.015;-0.066;-0.011;219.5;-33.019;7.594;-60.244;5.0;-32.87979;-60.69695;45.6;47.0
20211011_185135.0;-0.080;-0.580;9.360;0.017;-0.036;-0.011;219.5;-33.225;4.913;-60.694;5.0;-32.87979;-60.69695;45.6;47.0
20211011_185135.5;-0.372;-0.975;9.272;0.028;0.036;0.005;219.5;-32.250;6.000;-58.706;5.0;-32.87991;-60.69691;45.9;47.7
20211011_185136.0;-0.600;-0.463;10.040;0.076;-0.035;-0.011;219.5;-31.988;7.088;-60.881;5.0;-32.87991;-60.69691;45.9;47.7
20211011_185136.5;0.142;-1.732;11.075;0.035;0.034;0.004;219.5;-31.125;6.769;-60.750;5.0;-32.88003;-60.69688;46.2;47.4
20211011_185137.0;0.119;-1.656;10.321;-0.025;0.016;-0.006;219.5;-31.238;5.813;-62.456;5.0;-32.88003;-60.69688;46.2;47.4
20211011_185137.5;-0.274;-1.490;9.322;-0.016;0.020;0.011;219.5;-31.125;6.450;-61.538;5.0;-32.88014;-60.69686;45.1;45.5
20211011_185138.0;-0.492;-2.087;10.792;0.023;0.036;0.004;198.3;-31.163;3.450;-60.131;5.0;-32.88014;-60.69686;45.1;45.5
20211011_185138.5;-0.214;-2.259;9.456;0.008;0.004;-0.000;198.3;-32.625;4.256;-60.863;5.0;-32.88025;-60.69682;45.3;42.9
20211011_185139.0;-0.731;-1.926;9.904;-0.023;-0.001;-0.004;198.3;-33.375;5.063;-60.075;5.0;-32.88025;-60.69682;45.3;42.9
20211011_185139.5;-0.631;-2.338;9.999;-0.087;0.018;-0.026;198.3;-31.575;7.556;-59.194;5.0;-32.88034;-60.69679;43.6;38.4
20211011_185140.0;-0.895;-2.254;9.523;0.007;-0.047;-0.001;198.3;-32.213;4.575;-60.731;5.0;-32.88034;-60.69679;43.6;38.4
20211011_185140.5;-0.717;-2.458;8.936;-0.038;0.021;-0.012;198.3;-31.669;5.831;-60.581;5.0;-32.88043;-60.69677;44.7;33.0
20211011_185141.0;-0.439;-1.593;9.497;-0.019;0.050;0.006;198.3;-31.781;4.875;-59.963;5.0;-32.88043;-60.69677;44.7;33.0
20211011_185141.5;-0.657;-2.158;9.683;-0.008;0.002;-0.015;198.3;-31.238;5.513;-60.600;5.0;-32.88050;-60.69676;45.1;29.1
20211011_185142.0;-0.664;-1.006;10.302;-0.058;-0.035;0.008;178.7;-31.594;3.450;-59.344;5.0;-32.88050;-60.69676;45.1;29.1
20211011_185142.5;-0.408;-1.193;10.280;-0.017;-0.002;0.023;178.7;-30.544;6.600;-60.919;5.0;-32.88057;-60.69674;45.5;25.1
20211011_185143.0;-0.712;-1.660;9.863;0.035;-0.024;0.006;178.7;-32.700;6.638;-59.325;5.0;-32.88057;-60.69674;45.5;25.1
20211011_185143.5;-0.593;-1.703;8.933;-0.017;-0.036;-0.004;178.7;-31.650;5.513;-59.025;5.0;-32.88063;-60.69673;45.1;23.0
20211011_185144.0;-0.664;-1.696;8.663;0.039;-0.070;-0.008;178.7;-32.231;5.213;-61.031;5.0;-32.88063;-60.69673;45.1;23.0
20211011_185144.5;-0.557;-1.289;9.102;0.029;-0.012;-0.001;178.7;-31.519;5.663;-60.750;5.0;-32.88069;-60.69672;45.9;19.6
20211011_185145.0;-0.408;-0.965;8.969;0.001;0.033;-0.000;178.7;-32.400;6.319;-61.650;5.0;-32.88069;-60.69672;45.9;19.6
20211011_185145.5;-0.035;-0.937;9.133;0.007;0.035;0.002;178.7;-32.213;5.213;-58.388;5.0;-32.88073;-60.69670;45.7;17.6
20211011_185146.0;-0.241;-0.963;10.189;-0.019;0.029;-0.005;178.7;-32.381;5.831;-60.881;5.0;-32.88073;-60.69670;45.7;17.6
20211011_185146.5;-0.219;-1.315;10.282;0.021;0.022;-0.000;178.7;-33.094;5.531;-61.331;5.0;-32.88077;-60.69668;45.5;17.0
20211011_185147.0;-0.554;-1.217;10.271;-0.000;0.019;0.003;178.7;-32.344;4.256;-60.563;5.0;-32.88077;-60.69668;45.5;17.0
20211011_185147.5;-0.226;-0.860;9.585;0.000;-0.004;0.000;178.7;-30.581;2.963;-60.300;5.0;-32.88081;-60.69667;46.6;15.4
